address,prices,Rooms,Square_in_m^2,floor,Type,Year,District
 Гагарина 133,81 990 000 〒,2, 90, 6/16,['монолитный дом'],['2015 г.п.'],['Бостандыкский р-н']
 улица Мустай Карима,75 500 000 〒,3, 100, 9/10,['монолитный дом'],['2006 г.п.'],[]
" мкр Таугуль, Мустай Карима",41 500 000 〒,1, 50, 9/9,['монолитный дом'],['2006 г.п.'],['Ауэзовский р-н']
" мкр Акбулак, 1-ая улица, Байтерекова",33 600 000 〒,2, 58.2, 6/12,['монолитный дом'],['2020 г.п.'],['Алатауский р-н']
 Тлеуберди Сауранбаева — Спартака,38 000 000 〒,2, 62, 2/5,['кирпичный дом'],['2015 г.п.'],['Турксибский р-н']
" мкр Саялы, Мкр. Саялы — Аркалык 133",22 500 000 〒,3, 59, 5/5,['панельный дом'],['2019 г.п.'],['Алатауский р-н']
" мкр Шугыла, Ж.к Алма Сити 2/13к25",19 000 000 〒,1, 42, 1/5,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 Си Синхая 17,37 000 000 〒,1, 45, 7/12,['монолитный дом'],['2022 г.п.'],['Бостандыкский р-н']
" мкр №9, Жандосова 69а — Саина",29 000 000 〒,2, 48, 4/4,['кирпичный дом'],['1971 г.п.'],['Ауэзовский р-н']
 Майкы Би 2 — Возле нового ТРЦ “APORT MALL EAST”,11 600 000 〒,1, 43.1,,['монолитный дом'],['2024 г.п.'],['Медеуский р-н']
" мкр Сайран, Толе би — Отеген батыра",35 000 000 〒,2, 52, 2/10,['панельный дом'],['2020 г.п.'],['Ауэзовский р-н']
 мкр Айнабулак-4 178,22 500 000 〒,1, 34, 5/5,['панельный дом'],['1988 г.п.'],['Жетысуский р-н']
 Бауыржана Момышулы — Монке би,22 000 000 〒,1, 43.5, 3/12,['монолитный дом'],['2023 г.п.'],[]
 Навои 208/1 — Торайгырова,60 000 000 〒,2, 71, 5/15,['монолитный дом'],['2014 г.п.'],['Бостандыкский р-н']
 мкр Айнабулак-3 117 — Палладина,36 500 000 〒,3, 69, 5/5,['панельный дом'],['1985 г.п.'],['Жетысуский р-н']
" мкр Калкаман-1, Калкаман 4Б — Раимбека и Ашимова",12 900 000 〒,1, 21.12, 11/12,['монолитный дом'],['2023 г.п.'],['Наурызбайский р-н']
