address,prices,Rooms,Square_in_m^2,floor,Type,Year,District
 Аль-Фараби,70 000 000 〒,3, 91.8, 8/12,['монолитный дом'],['1990 г.п.'],['Бостандыкский р-н']
 Шевченко 154 — Муканова,97 000 000 〒,3, 129, 7/18,['монолитный дом'],['2008 г.п.'],['Алмалинский р-н']
 Жарокова 370,51 906 000 〒,2, 63.3,,[],['2023 г.п.'],['Бостандыкский р-н']
 Алатауская трасса,57 520 000 〒,4, 143.8,,[],['2023 г.п.'],[]
 мкр Рахат 6/1 — Байжанов,7 700 000 〒,1, 32.1, 1/1,['кирпичный дом'],['1979 г.п.'],['Алатауский р-н']
 Бузурбаева 17 — Ниже Гоголя,44 000 000 〒,2, 67, 4/4,['кирпичный дом'],['1968 г.п.'],['Медеуский р-н']
" мкр 13-й военный городок, Суюнбая 292/1 — 16 военный городок",37 500 000 〒,3, 90, 2/2,['кирпичный дом'],['1974 г.п.'],['Турксибский р-н']
 Райымбека 351/1,19 504 530 〒,1, 40.89,,[],['2024 г.п.'],['Алатауский р-н']
 Булкушева — Сейфуллина,23 940 000 〒,1, 42,,[],['2023 г.п.'],['Жетысуский р-н']
 Жамакаева 254,148 512 000 〒,4, 185.64,,['Клубный дом'],['2023 г.п.'],['Медеуский р-н']
" Момышулы, севернее ул. Монке би",18 059 600 〒,1, 39.26,,['пятиэтажных дом'],['2023 г.п.'],['Алатауский р-н']
 Есенова 160/3,23 960 000 〒,1, 47.92,,[],['2022 г.п.'],['Жетысуский р-н']
" мкр Мадениет, мкр. Мадениет 185/8",16 337 000 〒,2, 52.7,,[],['2023 г.п.'],['Алатауский р-н']
" мкр Тастак-2, Шевченко 166а — Ауэзова",32 500 000 〒,1, 36, 2/5,['кирпичный дом'],['1976 г.п.'],['Алмалинский р-н']
" мкр Кайрат, Туркестан 115",16 636 400 〒,1, 37.81,,[],['2024 г.п.'],['Турксибский р-н']
" мкр Айнабулак-2, Айнабулак 33/2",14 640 000 〒,1, 36.6,,[],['2024 г.п.'],['Жетысуский р-н']
 Райымбека — Суюнбая,63 629 480 〒,3, 101.8,,[],['2024 г.п.'],[]
" мкр Таусамалы, Жандосова 70а",55 200 000 〒,4, 115,,[],['2023 г.п.'],['Наурызбайский р-н']
 вдоль Капчагайской трассы,18 814 000 〒,1, 40.6,,[],['2023 г.п.'],['Турксибский р-н']
 Кенесары хана 54,44 585 000 〒,3, 91.1,,[],['2013 г.п.'],['Наурызбайский р-н']
 Алатауская трасса,57 520 000 〒,4, 143.8,,[],['2023 г.п.'],[]
 мкр Рахат 6/1 — Байжанов,7 700 000 〒,1, 32.1, 1/1,['кирпичный дом'],['1979 г.п.'],['Алатауский р-н']
 Бузурбаева 17 — Ниже Гоголя,44 000 000 〒,2, 67, 4/4,['кирпичный дом'],['1968 г.п.'],['Медеуский р-н']
" мкр 13-й военный городок, Суюнбая 292/1 — 16 военный городок",37 500 000 〒,3, 90, 2/2,['кирпичный дом'],['1974 г.п.'],['Турксибский р-н']
 Райымбека 351/1,19 504 530 〒,1, 40.89,,[],['2024 г.п.'],['Алатауский р-н']
 Булкушева — Сейфуллина,23 940 000 〒,1, 42,,[],['2023 г.п.'],['Жетысуский р-н']
 Жамакаева 254,148 512 000 〒,4, 185.64,,['Клубный дом'],['2023 г.п.'],['Медеуский р-н']
" Момышулы, севернее ул. Монке би",18 059 600 〒,1, 39.26,,['пятиэтажных дом'],['2023 г.п.'],['Алатауский р-н']
 Есенова 160/3,23 960 000 〒,1, 47.92,,[],['2022 г.п.'],['Жетысуский р-н']
" мкр Мадениет, мкр. Мадениет 185/8",16 337 000 〒,2, 52.7,,[],['2023 г.п.'],['Алатауский р-н']
" мкр Тастак-2, Шевченко 166а — Ауэзова",32 500 000 〒,1, 36, 2/5,['кирпичный дом'],['1976 г.п.'],['Алмалинский р-н']
" мкр Кайрат, Туркестан 115",16 636 400 〒,1, 37.81,,[],['2024 г.п.'],['Турксибский р-н']
" мкр Айнабулак-2, Айнабулак 33/2",14 640 000 〒,1, 36.6,,[],['2024 г.п.'],['Жетысуский р-н']
 Райымбека — Суюнбая,63 629 480 〒,3, 101.8,,[],['2024 г.п.'],[]
" мкр Таусамалы, Жандосова 70а",55 200 000 〒,4, 115,,[],['2023 г.п.'],['Наурызбайский р-н']
 вдоль Капчагайской трассы,18 814 000 〒,1, 40.6,,[],['2023 г.п.'],['Турксибский р-н']
 Кенесары хана 54,44 585 000 〒,3, 91.1,,[],['2013 г.п.'],['Наурызбайский р-н']
 Розыбакиева 158,28 080 000 〒,1, 39,,[],['2023 г.п.'],['Бостандыкский р-н']
 Толе Би — Сагадат Нурмагамбетов,77 425 204 〒,2, 82.8,,[],['2024 г.п.'],['Медеуский р-н']
 Аскарова — Саина,70 266 000 〒,3, 100.38,,[],['2023 г.п.'],['Ауэзовский р-н']
 Толе Би — Сагадат Нурмагамбетов,77 425 204 〒,2, 82.8,,[],['2024 г.п.'],['Медеуский р-н']
 Аскарова — Саина,70 266 000 〒,3, 100.38,,[],['2023 г.п.'],['Ауэзовский р-н']
 мкр. Астана 1/18,47 685 440 〒,2, 74.26,,[],['2021 г.п.'],['Ауэзовский р-н']
 Аскар Тау 364,354 000 000 〒,5, 295,,[],['2022 г.п.'],['Медеуский р-н']
 Жарокова 218,46 956 000 〒,1, 55.9,,[],['2023 г.п.'],['Бостандыкский р-н']
 ул. Жулдыз-5,59 488 000 〒,3, 114.2,,[],['2022 г.п.'],['Бостандыкский р-н']
 микрорайон Мамыр-1 26,56 700 000 〒,2, 90,,[],['2020 г.п.'],['Ауэзовский р-н']
 Гагарина 310,41 432 055 〒,1, 41.51,,[],['2023 г.п.'],['Бостандыкский р-н']
 мкр «Мирас» 31,112 922 000 〒,2, 142,,[],['2016 г.п.'],['Бостандыкский р-н']
 Гагарина 277/7,79 071 300 〒,3, 114.1,,[],['2021 г.п.'],['Бостандыкский р-н']
 Северное кольцо 92/4,20 020 000 〒,1, 38,,[],['2022 г.п.'],['Алатауский р-н']
 Проспект Аль-Фараби 144,98 419 200 〒,3, 93.2,,['новый дом'],['2017 г.п.'],['Бостандыкский р-н']
 Халиуллина 196/1,25 500 000 〒,2, 51,,[],['2021 г.п.'],['Медеуский р-н']
 Жандосова 94А,41 259 297 〒,2, 55.7,,[],['2023 г.п.'],['Бостандыкский р-н']
 мкр Курамыс 78,56 295 500 〒,1, 66.23,,[],['2023 г.п.'],['Наурызбайский р-н']
 мкр №1 39а,27 500 000 〒,2, 46, 3/4,['панельный дом'],['1968 г.п.'],['Ауэзовский р-н']
 Розыбакиева 237,71 485 000 〒,2, 84.1,,[],['2022 г.п.'],['Бостандыкский р-н']
 Карасай батыра 119/95,47 280 000 〒,1, 59.2,,[],['2021 г.п.'],['Алмалинский р-н']
 Кенесары Хана 83/4 — Асанбая Аскарова,33 000 000 〒,2, 45, 5/6,['монолитный дом'],['2014 г.п.'],['Бостандыкский р-н']
" мкр Аскартау, Ремизовка",84 468 700 〒,2, 118.97,,[],['2021 г.п.'],['Бостандыкский р-н']
" мкр Коктобе, Сагадат Нурмагамбетова 138/2",147 000 000 〒,4, 134.4,,[],['2023 г.п.'],['Медеуский р-н']
 мкр. Жана Куат 1-1330,15 964 500 〒,2, 55.05,,[],['2023 г.п.'],['Турксибский р-н']
 Шолохова /ахан серы 4,26 000 000 〒,1, 34, 3/3,['кирпичный дом'],['1983 г.п.'],['Турксибский р-н']
" мкр Аскартау, Переулок 5 1",59 000 000 〒,2, 52, 1/3,['кирпичный дом'],['2019 г.п.'],['Бостандыкский р-н']
 Тлендиева 133 — Сатпаева,34 000 000 〒,1, 39, 13,['монолитный дом'],['2023 г.п.'],['Бостандыкский р-н']
 мкр Жулдыз-2 53 — Лавренева,19 900 000 〒,1, 33.9, 2/5,['кирпичный дом'],['1988 г.п.'],['Турксибский р-н']
" мкр Мамыр, Керуентау — Жандосова Яссауи",26 700 000 〒,3, 52.6, 1/2,[],['1964 г.п.'],['Ауэзовский р-н']
 Жарокова 370,52 129 000 〒,2, 67.7,,[],['2023 г.п.'],['Бостандыкский р-н']
 Алатауская трасса,67 400 000 〒,5, 168.5,,[],['2023 г.п.'],[]
 мкр №8 55 — Шаляпина-Мате Залки ( Утеген Батыра),9 300 000 〒,1, 12, 1/4,['панельный дом'],['1975 г.п.'],['Ауэзовский р-н']
 Радостовца 255 — Утепова Радостовца,56 999 999 〒,3, 90, 13/13,['монолитный дом'],['2009 г.п.'],['Бостандыкский р-н']
 Толе би,77 000 000 〒,3, 103.4, 2/13,['монолитный дом'],['2021 г.п.'],['Алмалинский р-н']
 Толе би 206,36 900 000 〒,2, 60.3, 8/9,['панельный дом'],['1985 г.п.'],['Алмалинский р-н']
 вдоль Капчагайской трассы,24 745 600 〒,2, 64,,[],['2023 г.п.'],['Турксибский р-н']
 Кенесары хана 54,44 695 000 〒,3, 88.1,,[],['2013 г.п.'],['Наурызбайский р-н']
" мкр Теректы, Айналмалы 183",19 159 000 〒,2, 54.74,,[],['2023 г.п.'],['Алатауский р-н']
" мкр Мадениет, мкр. Мадениет",18 724 000 〒,2, 60.4,,[],['2023 г.п.'],['Алатауский р-н']
 Аскарова — Саина,70 266 000 〒,3, 100.38,,[],['2023 г.п.'],['Ауэзовский р-н']
 мкр. Астана 1/18,54 103 000 〒,2, 91.6,,[],['2021 г.п.'],['Ауэзовский р-н']
 Байтурсынова 163,28 500 000 〒,1, 31, 2/4,['кирпичный дом'],['1963 г.п.'],['Бостандыкский р-н']
 Жарокова 218,47 090 000 〒,1, 55.4,,[],['2023 г.п.'],['Бостандыкский р-н']
 Шевченко 186,59 000 000 〒,4, 72, 2/5,['кирпичный дом'],['1980 г.п.'],['Алмалинский р-н']
 микрорайон Мамыр-1 26,73 284 000 〒,3, 118.2,,[],['2020 г.п.'],['Ауэзовский р-н']
 мкр Тастак-2 29 — Тлендиева Дуйсенова,37 000 000 〒,3, 65.5, 5/5,['панельный дом'],['1980 г.п.'],['Алмалинский р-н']
 мкр «Мирас» 31,118 030 000 〒,3, 144.4,,[],['2016 г.п.'],['Бостандыкский р-н']
 Гагарина 277/7,80 527 500 〒,3, 119.3,,[],['2021 г.п.'],['Бостандыкский р-н']
 Кармысова 84,105 000 000 〒,3, 73, 3/12,['монолитный дом'],['2021 г.п.'],['Медеуский р-н']
 Сатпаева 74 — Розыбакиева,37 000 000 〒,2, 60, 1/9,[],['1988 г.п.'],['Бостандыкский р-н']
 Мкр «Мирас» 31 — Аскарова,220 000 000 〒,4, 158, 4/6,['монолитный дом'],['2016 г.п.'],['Бостандыкский р-н']
 мкр Аккент,21 529 200 〒,2, 51.26,,[],['2023 г.п.'],['Алатауский р-н']
" мкр Аскартау, Ремизовка 1а",95 183 400 〒,3, 122.03,,[],['2022 г.п.'],['Бостандыкский р-н']
" мкр Коктобе, Сагадат Нурмагамбетова 138/2",149 650 000 〒,4, 138.5,,[],['2023 г.п.'],['Медеуский р-н']
 20-я улица 284,45 000 000 〒,6, 199,,[],['2022 г.п.'],['Турксибский р-н']
 Ровеснского,23 500 000 〒,2, 44, 2/4,['панельный дом'],['1973 г.п.'],['Турксибский р-н']
 Чехова 37 — Сейфуллина -Аймауытова,50 000 000 〒,4, 93, 5/6,['кирпичный дом'],['1989 г.п.'],['Турксибский р-н']
 Есенова 160/3,20 500 000 〒,1, 38, 9/13,['монолитный дом'],['2023 г.п.'],['Жетысуский р-н']
" мкр №3, Саина 19/1",60 000 000 〒,2, 69.1, 2/10,['монолитный дом'],['2015 г.п.'],['Ауэзовский р-н']
 Жарокова 370,58 990 000 〒,2, 69.4,,[],['2023 г.п.'],['Бостандыкский р-н']
 Токмакская — Пушкина- Ташкентская,25 000 000 〒,2, 40, 2/2,['кирпичный дом'],['1955 г.п.'],['Медеуский р-н']
 Жунисова,25 000 000 〒,1, 38, 2/6,['монолитный дом'],['2019 г.п.'],['Наурызбайский р-н']
" Наурызбай батыра — Наурызбай батыра , уг казбек би",50 000 000 〒,2, 39.5, 4/4,['кирпичный дом'],['1963 г.п.'],['Алмалинский р-н']
 Досмухамедова — Байтурсынова,32 500 000 〒,1, 38, 5/5,['кирпичный дом'],['1991 г.п.'],['Алмалинский р-н']
 Райымбека 351/1,19 708 320 〒,2, 43.22,,[],['2024 г.п.'],['Алатауский р-н']
 Булкушева — Сейфуллина,32 946 000 〒,2, 57.8,,[],['2023 г.п.'],['Жетысуский р-н']
 Жамакаева 254,46 503 000 〒,1, 51.67,,['Клубный дом'],['2023 г.п.'],['Медеуский р-н']
" ул. Момышулы, севернее ул. Монке би",21 629 000 〒,2, 51.33,,['пятиэтажных дом'],['2023 г.п.'],['Алатауский р-н']
 Есенова 160/3,27 283 500 〒,2, 58.05,,['экстерьеров дом'],['2022 г.п.'],['Жетысуский р-н']
 Сатпаева 90 — Туркебаева,36 500 000 〒,2, 58.8, 8/12,['монолитный дом'],['2018 г.п.'],['Бостандыкский р-н']
 Варламова 326 — Карасай батыра,26 000 000 〒,1, 32, 7/10,['монолитный дом'],['2022 г.п.'],['Алмалинский р-н']
 Клочкова 32,32 500 000 〒,2, 43, 1/5,['панельный дом'],['1978 г.п.'],['Алмалинский р-н']
 мкр Зердели (Алгабас-6) 1\22,42 000 000 〒,3, 76, 3/5,['монолитный дом'],['2013 г.п.'],['Алатауский р-н']
 Сатпаева 90 — Туркебаева,36 500 000 〒,2, 58.8, 3/12,['монолитный дом'],['2018 г.п.'],['Бостандыкский р-н']
 Сатпаева 90 — Туркебаева,36 500 000 〒,2, 58.8, 5/12,['монолитный дом'],['2018 г.п.'],['Бостандыкский р-н']
 Абишева 36/3,49 000 000 〒,3, 84, 9/16,['монолитный дом'],['2020 г.п.'],['Наурызбайский р-н']
 Панфилова 51,26 000 000 〒,2, 42, 4/4,['панельный дом'],['1970 г.п.'],['Алмалинский р-н']
 мкр Астана 1/18,69 000 000 〒,3, 80, 10/13,['монолитный дом'],['2023 г.п.'],['Ауэзовский р-н']
 мкр Горный Гигант,370 000 000 〒,5, 200,,['монолитный дом'],['2006 г.п.'],['Медеуский р-н']
 Розыбакиева 248,39 000 000 〒,2, 46.5, 5/5,['панельный дом'],['1986 г.п.'],['Бостандыкский р-н']
 вдоль Капчагайской трассы,25 402 905 〒,2, 65.5,,[],['2023 г.п.'],['Турксибский р-н']
 Кенесары хана 54,53 668 000 〒,3, 101.4,,[],['2013 г.п.'],['Наурызбайский р-н']
 Аскарова — Саина,72 653 000 〒,3, 103.79,,[],['2023 г.п.'],['Ауэзовский р-н']
 мкр. Астана 1/18,65 561 000 〒,3, 123,,[],['2021 г.п.'],['Ауэзовский р-н']
 Жарокова 218,51 240 000 〒,2, 61,,[],['2023 г.п.'],['Бостандыкский р-н']
 микрорайон Мамыр-1 26,93 818 000 〒,4, 153.8,,[],['2020 г.п.'],['Ауэзовский р-н']
 мкр «Мирас» 31,76 138 000 〒,2, 98.6,,[],['2016 г.п.'],['Бостандыкский р-н']
 Гагарина 277/7,81 270 000 〒,3, 120.4,,[],['2021 г.п.'],['Бостандыкский р-н']
 Майлина 54 — Бухтарминская,36 500 000 〒,2, 68, 10/13,['монолитный дом'],['2016 г.п.'],['Турксибский р-н']
" мкр Аскартау, Ремизовка 1а",115 057 800 〒,4, 147.51,,[],['2022 г.п.'],['Бостандыкский р-н']
 Кабанбай батыра,39 700 000 〒,2, 51, 4/5,['кирпичный дом'],['1986 г.п.'],['Алмалинский р-н']
" мкр Коктобе, Сагадат Нурмагамбетова 138/2",152 750 000 〒,4, 138.58,,[],['2023 г.п.'],['Медеуский р-н']
 Жарокова 370,63 360 000 〒,3, 88,,[],['2023 г.п.'],['Бостандыкский р-н']
 мкр. Жана Куат 1-1330,10 107 000 〒,1, 33.69,,[],['2023 г.п.'],['Турксибский р-н']
 Егизбаева 5к,37 500 000 〒,1, 45.6, 6,['монолитный дом'],['2023 г.п.'],['Бостандыкский р-н']
 саина 4 — Asia park,26 000 000 〒,2, 44, 5/5,['панельный дом'],['1974 г.п.'],['Ауэзовский р-н']
" мкр Мадениет, мкр. Мадениет",22 320 000 〒,2, 72,,[],['2023 г.п.'],['Алатауский р-н']
" мкр Кайрат, Туркестан 115",18 376 000 〒,1, 45.94,,[],['2024 г.п.'],['Турксибский р-н']
" мкр Айнабулак-2, Айнабулак участок 33/2",25 053 400 〒,2, 69.4,,[],['2024 г.п.'],['Жетысуский р-н']
" мкр Акбулак, С.Байтерекова 61 — Напротив Алматы Арена",75 000 000 〒,4, 98.8, 3/12,['монолитный дом'],['2016 г.п.'],['Алатауский р-н']
 Суюнбая 292г,24 000 000 〒,2, 48, 2/2,['кирпичный дом'],['1971 г.п.'],['Турксибский р-н']
" мкр №11, Жандосова — Алтынсарина",41 500 000 〒,2, 50, 2/5,['кирпичный дом'],['1986 г.п.'],['Ауэзовский р-н']
" мкр Таусамалы, Жандосова 70а",79 392 000 〒,4, 165.4,,[],['2023 г.п.'],['Наурызбайский р-н']
 Райымбека — Суюнбая,64 247 664 〒,3, 91,,[],['2024 г.п.'],[]
 Розыбакиева 158,29 808 000 〒,1, 41.4,,[],['2023 г.п.'],['Бостандыкский р-н']
 Толе Би — Сагадат Нурмагамбетов,82 861 057 〒,3, 90.2,,[],['2024 г.п.'],['Медеуский р-н']
 Гагарина 310,42 369 250 〒,2, 54.67,,[],['2023 г.п.'],['Бостандыкский р-н']
 Северное кольцо 92/4,21 707 000 〒,1, 44.3,,[],['2022 г.п.'],['Алатауский р-н']
 Аль-Фараби 144,100 320 000 〒,3, 95,,['новый дом'],['2017 г.п.'],['Бостандыкский р-н']
 Халиуллина 196/1,32 940 000 〒,2, 73.2,,[],['2021 г.п.'],['Медеуский р-н']
 Карасай батыра 119/95,60 420 000 〒,2, 77.8,,[],['2021 г.п.'],['Алмалинский р-н']
 Жандосова 94А,48 216 000 〒,2, 65.6,,[],['2023 г.п.'],['Бостандыкский р-н']
 Сатпаева 90 — Туркебаева,41 500 000 〒,2, 40, 2/12,['монолитный дом'],['2018 г.п.'],['Бостандыкский р-н']
 Сатпаева 90 — Туркебаева,36 500 000 〒,2, 58, 11/12,['монолитный дом'],['2018 г.п.'],['Бостандыкский р-н']
 Тлендиева 133 — Сатпаева,39 900 000 〒,2, 60.6, 11/12,['монолитный дом'],['2019 г.п.'],['Бостандыкский р-н']
 Тлендиева 133 — Сатпаева,43 900 000 〒,2, 70, 14/16,['монолитный дом'],['2019 г.п.'],['Бостандыкский р-н']
" мкр Акжар, Береке 7",20 000 000 〒,1, 44.4, 3/4,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 Ауэзова 1,56 000 000 〒,3, 57, 3/15,['монолитный дом'],['2022 г.п.'],[]
 Сатпаева 90А — Туркебаева,38 000 000 〒,2, 40.5, 11/12,['монолитный дом'],['2019 г.п.'],['Бостандыкский р-н']
 Райымбека 351/1,21 016 620 〒,2, 44.06,,[],['2024 г.п.'],['Алатауский р-н']
 вдоль Капчагайской трассы,25 634 895 〒,2, 63.6,,[],['2023 г.п.'],['Турксибский р-н']
 Кенесары хана 54,55 524 000 〒,4, 108.4,,[],['2013 г.п.'],['Наурызбайский р-н']
 Булкушева — Сейфуллина,20 235 000 〒,1, 35.5,,[],['2023 г.п.'],['Жетысуский р-н']
 Жарокова 370,65 065 000 〒,3, 84.5,,[],['2023 г.п.'],['Бостандыкский р-н']
 Аскарова — Саина,76 482 000 〒,3, 109.26,,[],['2023 г.п.'],['Ауэзовский р-н']
 мкр. Астана 1/18,85 345 000 〒,4, 131.3,,[],['2021 г.п.'],['Ауэзовский р-н']
 Жамакаева 254,61 587 000 〒,1, 68.43,,['Клубный дом'],['2023 г.п.'],['Медеуский р-н']
 Жарокова 218,52 234 000 〒,2, 63.7,,[],['2023 г.п.'],['Бостандыкский р-н']
" ул. Момышулы, севернее ул. Монке би",23 630 000 〒,2, 69.5,,['пятиэтажных дом'],['2023 г.п.'],['Алатауский р-н']
 микрорайон Мамыр-1 26/1,99 125 000 〒,4, 162.5,,[],['2022 г.п.'],['Ауэзовский р-н']
 мкр «Мирас» 31,90 898 000 〒,2, 111.2,,[],['2016 г.п.'],['Бостандыкский р-н']
 Есенова 160/3,29 299 800 〒,2, 62.34,,[],['2022 г.п.'],['Жетысуский р-н']
 Гагарина 277/7,96 894 000 〒,4, 134.7,,[],['2021 г.п.'],['Бостандыкский р-н']
 Жандосова 94А,39 000 000 〒,2, 56, 14/16,['монолитный дом'],['2023 г.п.'],['Бостандыкский р-н']
" мкр Аскартау, Ремизовка",119 379 000 〒,4, 153.05,,[],['2021 г.п.'],['Бостандыкский р-н']
 Жандосова 34А — Жандосова-Ауэзова,58 000 000 〒,3, 76, 3/9,['монолитный дом'],['1985 г.п.'],['Бостандыкский р-н']
" мкр Коктобе, Сагадат Нурмагамбетова 138/2",156 200 000 〒,4, 137.65,,[],['2023 г.п.'],['Медеуский р-н']
 мкр. Жана Куат 1-1330,10 227 000 〒,1, 34.09,,[],['2023 г.п.'],['Турксибский р-н']
 проспект Гагарина 143а,26 800 000 〒,1, 35, 1/5,['кирпичный дом'],['1984 г.п.'],['Бостандыкский р-н']
 Сейфуллина 574/1 кор1,127 500 000 〒,3, 130, 11/21,['монолитный дом'],['2021 г.п.'],['Бостандыкский р-н']
" мкр Мадениет, мкр. Мадениет 185/8",23 498 000 〒,3, 75.8,,[],['2023 г.п.'],['Алатауский р-н']
 мкр Думан-2 27,62 000 000 〒,3, 90, 3/5,['монолитный дом'],['2019 г.п.'],['Медеуский р-н']
" мкр №3, Саина 19/1 — Абая-Саина",33 800 000 〒,1, 43, 7/10,['монолитный дом'],['2015 г.п.'],['Ауэзовский р-н']
" мкр Нуркент (Алгабас-1), Алгабас-1 75",38 000 000 〒,2, 70, 6/12,['монолитный дом'],['2018 г.п.'],['Алатауский р-н']
 Глазунова 44,21 000 000 〒,3, 60, 1/2,['кирпичный дом'],['1960 г.п.'],['Турксибский р-н']
 Казыбек Би 154/84 — Жумалиева,56 400 000 〒,2, 117, 10/10,['кирпичный дом'],['2001 г.п.'],['Алмалинский р-н']
 Жарокова 370,70 070 000 〒,3, 91,,[],['2023 г.п.'],['Бостандыкский р-н']
 вдоль Капчагайской трассы,31 344 755 〒,3, 85,,[],['2023 г.п.'],['Турксибский р-н']
 Кенесары хана 54,58 326 000 〒,4, 119,,[],['2013 г.п.'],['Наурызбайский р-н']
 Аскарова — Саина,77 406 000 〒,3, 110.58,,[],['2023 г.п.'],['Ауэзовский р-н']
 мкр. Астана 1/18,31 395 600 〒,1, 50.8,,[],['2021 г.п.'],['Ауэзовский р-н']
 Жарокова 218,63 726 000 〒,2, 81.7,,[],['2023 г.п.'],['Бостандыкский р-н']
 микрорайон Мамыр-1 26/1,35 230 000 〒,1, 54.2,,[],['2022 г.п.'],['Ауэзовский р-н']
 мкр «Мирас» 31,96 850 000 〒,2, 119.9,,[],['2016 г.п.'],['Бостандыкский р-н']
 Гагарина 277/7,45 117 000 〒,2, 55.7,,[],['2021 г.п.'],['Бостандыкский р-н']
 Дарабоз 79,29 500 000 〒,1, 45, 2/12,['монолитный дом'],['2022 г.п.'],['Алатауский р-н']
" мкр Мирас, Мкр. Мирас 157",125 000 000 〒,4, 160.5, 1/7,['монолитный дом'],['2008 г.п.'],['Бостандыкский р-н']
 Нурмакова,46 000 000 〒,3, 65.5, 5/5,['панельный дом'],['1980 г.п.'],['Алмалинский р-н']
" мкр Аскартау, Ремизовка",120 806 400 〒,4, 154.88,,[],['2021 г.п.'],['Бостандыкский р-н']
" мкр Коктобе, Сагадат Нурмагамбетова 138/2",170 700 000 〒,4, 155.6,,[],['2023 г.п.'],['Медеуский р-н']
 мкр. Жана Куат 1-1330,11 262 000 〒,1, 37.54,,[],['2023 г.п.'],['Турксибский р-н']
 Маметовой 22 — Панфилова,60 000 000 〒,2, 65, 5/5,['кирпичный дом'],['1970 г.п.'],['Алмалинский р-н']
 мкр Таугуль 170,29 000 000 〒,2, 47, 4/4,['кирпичный дом'],['1967 г.п.'],['Ауэзовский р-н']
 мкр Аксай-1А 4,24 000 000 〒,1, 40.2, 8/9,['монолитный дом'],['2001 г.п.'],['Ауэзовский р-н']
 Достык — Курмангазы,75 000 000 〒,3, 71, 4/12,['монолитный дом'],['1978 г.п.'],['Медеуский р-н']
 мкр Коктем-3,32 500 000 〒,2, 42, 3/4,['панельный дом'],['1971 г.п.'],['Бостандыкский р-н']
" мкр Мадениет, мкр. Мадениет",23 498 000 〒,3, 75.8,,[],['2023 г.п.'],['Алатауский р-н']
 Алтын орда 22,16 500 000 〒,1, 32, 1/9,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 мкр Аксай-4 121,36 500 000 〒,1, 52.9, 7/9,['монолитный дом'],['2014 г.п.'],['Ауэзовский р-н']
 Райымбека 351/1,24 428 880 〒,2, 62.16,,[],['2024 г.п.'],['Алатауский р-н']
 Булкушева — Сейфуллина,21 432 000 〒,1, 37.6,,[],['2023 г.п.'],['Жетысуский р-н']
 Жамакаева 254,69 090 000 〒,1, 69.09,,['Клубный дом'],['2023 г.п.'],['Медеуский р-н']
 Есенова 160/3,29 454 900 〒,2, 62.67,,['экстерьеров дом'],['2022 г.п.'],['Жетысуский р-н']
" ул. Момышулы, севернее ул. Монке би",27 184 500 〒,2, 60.41,,['пятиэтажных дом'],['2023 г.п.'],['Алатауский р-н']
" мкр Кайрат, Туркестан 115",19 195 800 〒,2, 49.22,,[],['2024 г.п.'],['Турксибский р-н']
" мкр Таусамалы, Жандосова 70а",24 432 000 〒,1, 50.9,,[],['2023 г.п.'],['Наурызбайский р-н']
 Райымбека — Суюнбая,65 783 151 〒,3, 96.3,,[],['2024 г.п.'],[]
 мкр Мамыр-2 3 — Шаляпина,42 500 000 〒,4, 92, 5/5,['кирпичный дом'],['1996 г.п.'],['Ауэзовский р-н']
 Розыбакиева 158,33 408 000 〒,2, 46.4,,[],['2023 г.п.'],['Бостандыкский р-н']
 Жарокова 370,72 996 000 〒,3, 94.8,,[],['2023 г.п.'],['Бостандыкский р-н']
 Толе Би — Сагадат Нурмагамбетов,110 879 486 〒,4, 120.7,,[],['2024 г.п.'],['Медеуский р-н']
 Гагарина 310,46 930 800 〒,2, 63.42,,[],['2023 г.п.'],['Бостандыкский р-н']
 Северное кольцо 92/4,29 250 000 〒,3, 75,,[],['2022 г.п.'],['Алатауский р-н']
 Аль-Фараби 144,72 864 000 〒,2, 75.93,,['новый дом'],['2017 г.п.'],['Бостандыкский р-н']
 Халиуллина 196/1,32 985 000 〒,3, 73.3,,[],['2021 г.п.'],['Медеуский р-н']
 Жандосова 94А,51 964 500 〒,2, 70.7,,[],['2023 г.п.'],['Бостандыкский р-н']
 Карасай батыра 119/95,75 517 000 〒,3, 96.2,,[],['2021 г.п.'],['Алмалинский р-н']
 мкр Кулагер 9 — Серикова,37 000 000 〒,3, 67.3, 5/5,['кирпичный дом'],['1989 г.п.'],['Жетысуский р-н']
 мкр Саялы 85,21 100 000 〒,1, 39.3, 3/5,['монолитный дом'],['2015 г.п.'],['Алатауский р-н']
 мкр Таугуль 8,32 000 000 〒,2, 44, 4/5,['панельный дом'],['1987 г.п.'],['Ауэзовский р-н']
 вдоль Капчагайской трассы,17 775 450 〒,1, 40.5,,[],['2023 г.п.'],['Турксибский р-н']
 Кенесары хана 54,27 809 000 〒,1, 52.1,,[],['2013 г.п.'],['Наурызбайский р-н']
 Аскарова — Саина,91 301 000 〒,3, 130.43,,[],['2023 г.п.'],['Ауэзовский р-н']
 мкр. Астана 1/18,33 794 000 〒,1, 48.5,,[],['2021 г.п.'],['Ауэзовский р-н']
 Жарокова 218,65 746 000 〒,2, 80.3,,[],['2023 г.п.'],['Бостандыкский р-н']
